date,description,amount,category
2024-06-23,Starbucks,-9.00,Dining
2024-06-24,Amazon,-79.99,Shopping
2024-06-25,Nashville Electric,-130.00,Utilities
2024-06-26,Shell Gas Station,-58.90,Gas
2024-06-27,Kroger,-76.44,Groceries
2024-06-28,Venmo Transfer,-50.00,Transfer
2024-06-29,Chipotle,-15.25,Dining
2024-06-30,Amazon,-41.00,Shopping
2024-07-01,Kroger,-85.30,Groceries
2024-07-02,Netflix,-15.99,Subscriptions
2024-07-03,Shell Gas Station,-65.50,Gas
2024-07-04,Chipotle,-18.00,Dining
2024-07-05,Amazon,-55.99,Shopping
2024-07-06,Spotify,-9.99,Subscriptions
2024-07-07,Walgreens,-21.00,Health
2024-07-08,Chipotle,-14.25,Dining
2024-07-09,AT&T,-85.00,Utilities
2024-07-10,Kroger,-99.88,Groceries
2024-07-11,Uber,-25.00,Transportation
2024-07-12,Starbucks,-11.00,Dining
2024-07-13,Amazon,-48.99,Shopping
2024-07-14,Shell Gas Station,-62.40,Gas
2024-07-15,Direct Deposit,3400.00,Income
2024-07-16,Publix,-74.55,Groceries
2024-07-17,Hulu,-17.99,Subscriptions
2024-07-18,Cheesecake Factory,-102.00,Dining
2024-07-19,CVS,-18.25,Health
2024-07-20,Lyft,-22.90,Transportation
2024-07-21,Whole Foods,-128.44,Groceries
2024-07-22,Apple iCloud,-2.99,Subscriptions
2024-07-23,Starbucks,-10.25,Dining
2024-07-24,Amazon,-88.00,Shopping
2024-07-25,Nashville Electric,-145.00,Utilities
2024-07-26,Shell Gas Station,-61.20,Gas
2024-07-27,Kroger,-82.77,Groceries
2024-07-28,Venmo Transfer,-75.00,Transfer
2024-07-29,Chipotle,-16.50,Dining
2024-07-30,Amazon,-34.99,Shopping
2024-07-31,Walgreens,-19.50,Health
2024-08-01,Kroger,-93.44,Groceries
2024-08-02,Netflix,-15.99,Subscriptions
2024-08-03,Shell Gas Station,-60.00,Gas
2024-08-04,Chipotle,-17.25,Dining
2024-08-05,Amazon,-61.49,Shopping
2024-08-06,Spotify,-9.99,Subscriptions
2024-08-07,Walgreens,-24.60,Health
2024-08-08,Chipotle,-13.50,Dining
2024-08-09,AT&T,-85.00,Utilities
2024-08-10,Kroger,-97.11,Groceries
2024-08-11,Uber,-20.50,Transportation
2024-08-12,Starbucks,-9.75,Dining
2024-08-13,Amazon,-27.99,Shopping
2024-08-14,Shell Gas Station,-58.80,Gas
2024-08-15,Direct Deposit,3400.00,Income
2024-08-16,Publix,-68.90,Groceries
2024-08-17,Hulu,-17.99,Subscriptions
2024-08-18,Texas Roadhouse,-88.50,Dining
2024-08-19,CVS,-14.75,Health
2024-08-20,Lyft,-18.60,Transportation
2024-08-21,Whole Foods,-119.33,Groceries
2024-08-22,Apple iCloud,-2.99,Subscriptions
2024-08-23,Starbucks,-8.50,Dining
2024-08-24,Amazon,-72.00,Shopping
2024-08-25,Nashville Electric,-138.00,Utilities
2024-08-26,Shell Gas Station,-57.30,Gas
2024-08-27,Kroger,-78.22,Groceries
2024-08-28,Venmo Transfer,-50.00,Transfer
2024-08-29,Chipotle,-15.75,Dining
2024-08-30,Amazon,-39.99,Shopping
2024-08-31,Walgreens,-17.25,Health
2024-09-01,Kroger,-88.77,Groceries
2024-09-02,Netflix,-15.99,Subscriptions
2024-09-03,Shell Gas Station,-56.60,Gas
2024-09-04,Chipotle,-14.75,Dining
2024-09-05,Amazon,-43.49,Shopping
2024-09-06,Spotify,-9.99,Subscriptions
2024-09-07,Walgreens,-20.10,Health
2024-09-08,Chipotle,-12.25,Dining
2024-09-09,AT&T,-85.00,Utilities
2024-09-10,Kroger,-84.66,Groceries
2024-09-11,Uber,-16.75,Transportation
2024-09-12,Starbucks,-8.25,Dining
2024-09-13,Amazon,-33.99,Shopping
2024-09-14,Shell Gas Station,-54.10,Gas
2024-09-15,Direct Deposit,3600.00,Income
2024-09-16,Publix,-65.44,Groceries
2024-09-17,Hulu,-17.99,Subscriptions
2024-09-18,Cheesecake Factory,-78.00,Dining
2024-09-19,CVS,-16.99,Health
2024-09-20,Lyft,-15.40,Transportation
2024-09-21,Whole Foods,-111.55,Groceries
2024-09-22,Apple iCloud,-2.99,Subscriptions
2024-09-23,Starbucks,-7.50,Dining
2024-09-24,Amazon,-59.00,Shopping
2024-09-25,Nashville Electric,-125.00,Utilities
2024-09-26,Shell Gas Station,-52.40,Gas
2024-09-27,Kroger,-75.88,Groceries
2024-09-28,Venmo Transfer,-40.00,Transfer
2024-09-29,Chipotle,-13.50,Dining
2024-09-30,Amazon,-25.99,Shopping
2024-10-01,Kroger,-81.22,Groceries
2024-10-02,Netflix,-15.99,Subscriptions
2024-10-03,Shell Gas Station,-53.40,Gas
2024-10-04,Chipotle,-13.25,Dining
2024-10-05,Amazon,-37.99,Shopping
2024-10-06,Spotify,-9.99,Subscriptions
2024-10-07,Walgreens,-18.50,Health
2024-10-08,Chipotle,-11.75,Dining
2024-10-09,AT&T,-85.00,Utilities
2024-10-10,Kroger,-90.33,Groceries
2024-10-11,Uber,-14.25,Transportation
2024-10-12,Starbucks,-7.75,Dining
2024-10-13,Amazon,-29.49,Shopping
2024-10-14,Shell Gas Station,-50.80,Gas
2024-10-15,Direct Deposit,3600.00,Income
2024-10-16,Publix,-58.77,Groceries
2024-10-17,Hulu,-17.99,Subscriptions
2024-10-18,Texas Roadhouse,-70.00,Dining
2024-10-19,CVS,-13.25,Health
2024-10-20,Lyft,-12.90,Transportation
2024-10-21,Whole Foods,-105.11,Groceries
2024-10-22,Apple iCloud,-2.99,Subscriptions
2024-10-23,Starbucks,-6.75,Dining
2024-10-24,Amazon,-48.00,Shopping
2024-10-25,Nashville Electric,-112.00,Utilities
2024-10-26,Shell Gas Station,-49.60,Gas
2024-10-27,Kroger,-73.44,Groceries
2024-10-28,Venmo Transfer,-35.00,Transfer
2024-10-29,Chipotle,-12.50,Dining
2024-10-30,Amazon,-22.99,Shopping
2024-10-31,Walgreens,-16.00,Health
2024-11-01,Kroger,-86.55,Groceries
2024-11-02,Netflix,-15.99,Subscriptions
2024-11-03,Shell Gas Station,-51.20,Gas
2024-11-04,Chipotle,-14.00,Dining
2024-11-05,Amazon,-41.99,Shopping
2024-11-06,Spotify,-9.99,Subscriptions
2024-11-07,Walgreens,-23.75,Health
2024-11-08,Chipotle,-12.75,Dining
2024-11-09,AT&T,-85.00,Utilities
2024-11-10,Kroger,-94.88,Groceries
2024-11-11,Uber,-18.00,Transportation
2024-11-12,Starbucks,-8.00,Dining
2024-11-13,Amazon,-35.49,Shopping
2024-11-14,Shell Gas Station,-52.90,Gas
2024-11-15,Direct Deposit,3600.00,Income
2024-11-16,Publix,-62.33,Groceries
2024-11-17,Hulu,-17.99,Subscriptions
2024-11-18,Cheesecake Factory,-85.00,Dining
2024-11-19,CVS,-19.50,Health
2024-11-20,Lyft,-16.20,Transportation
2024-11-21,Whole Foods,-108.77,Groceries
2024-11-22,Apple iCloud,-2.99,Subscriptions
2024-11-23,Starbucks,-7.25,Dining
2024-11-24,Amazon,-125.00,Shopping
2024-11-25,Nashville Electric,-108.00,Utilities
2024-11-26,Shell Gas Station,-50.70,Gas
2024-11-27,Kroger,-79.11,Groceries
2024-11-28,Target,-88.50,Shopping
2024-11-29,Amazon,-142.00,Shopping
2024-11-30,Walgreens,-14.25,Health
2024-12-01,Kroger,-92.44,Groceries
2024-12-02,Netflix,-15.99,Subscriptions
2024-12-03,Shell Gas Station,-54.60,Gas
2024-12-04,Chipotle,-15.50,Dining
2024-12-05,Amazon,-189.99,Shopping
2024-12-06,Spotify,-9.99,Subscriptions
2024-12-07,Walgreens,-26.80,Health
2024-12-08,Chipotle,-13.00,Dining
2024-12-09,AT&T,-85.00,Utilities
2024-12-10,Kroger,-98.22,Groceries
2024-12-11,Uber,-22.50,Transportation
2024-12-12,Starbucks,-9.50,Dining
2024-12-13,Amazon,-215.00,Shopping
2024-12-14,Shell Gas Station,-55.80,Gas
2024-12-15,Direct Deposit,3600.00,Income
2024-12-16,Publix,-72.88,Groceries
2024-12-17,Hulu,-17.99,Subscriptions
2024-12-18,Texas Roadhouse,-110.00,Dining
2024-12-19,CVS,-28.75,Health
2024-12-20,Lyft,-19.80,Transportation
2024-12-21,Whole Foods,-135.66,Groceries
2024-12-22,Apple iCloud,-2.99,Subscriptions
2024-12-23,Starbucks,-10.75,Dining
2024-12-24,Amazon,-98.00,Shopping
2024-12-25,Target,-145.00,Shopping
2024-12-26,Nashville Electric,-118.00,Utilities
2024-12-27,Shell Gas Station,-53.20,Gas
2024-12-28,Kroger,-84.33,Groceries
2024-12-29,Venmo Transfer,-100.00,Transfer
2024-12-30,Amazon,-55.00,Shopping
2024-12-31,Walgreens,-21.50,Health
